,Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate,collection_time,mid_iv,Put_Price
59,58420.0593,0.0928,2024-09-02 21:02:59,184.19,0.095,0.0,0.0905,0.99738,-8.29875,0.0,0.1748,0.7219,94.95,BTC,2024-09-03,53000.0,Call,5421.38150304,0.0054794520547945,0.0529857534246575,2024-09-02 21:03:41,0.9495,11.683109400000001
60,58439.7483,0.0931,2024-09-02 21:05:41,178.89,0.095,0.0,0.0915,0.99752,-7.88597,0.0,0.1661,0.71799,94.95,BTC,2024-09-03,53000.0,Call,5440.74056673,0.0054794520547945,0.0529857534246575,2024-09-02 21:06:23,0.9495,11.682914160000001
61,58473.1076,0.0936,2024-09-02 21:08:23,189.9,0.096,0.0,0.092,0.99768,-7.39625,0.0,0.15579,0.7151,94.95,BTC,2024-09-03,53000.0,Call,5473.08287136,0.0054794520547945,0.0529857534246575,2024-09-02 21:09:05,0.9495,11.696884200000001
62,58481.5194,0.0938,2024-09-02 21:11:05,187.83,0.096,0.0,0.092,0.99774,-7.21986,0.0,0.15207,0.71313,94.95,BTC,2024-09-03,53000.0,Call,5485.56651972,0.0054794520547945,0.0529857534246575,2024-09-02 21:11:47,0.9495,11.69880156
63,58546.4392,0.0948,2024-09-02 21:13:47,189.77,0.097,0.0,0.0925,0.998,-6.47325,0.0,0.13635,0.71032,94.95,BTC,2024-09-03,53000.0,Call,5550.20243616,0.0054794520547945,0.0529857534246575,2024-09-02 21:14:30,0.9495,11.70704914
64,58556.103,0.0949,2024-09-02 21:16:30,186.97,0.097,0.0,0.0925,0.99803,-6.38649,0.0,0.13452,0.71034,94.95,BTC,2024-09-03,53000.0,Call,5556.9741747,0.0054794520547945,0.0529857534246575,2024-09-02 21:17:12,0.9495,11.710824200000001
65,58563.4805,0.095,2024-09-02 21:19:12,185.41,0.097,0.0,0.0935,0.99811,-6.11641,0.0,0.12883,0.70538,94.95,BTC,2024-09-03,53000.0,Call,5563.5306475,0.0054794520547945,0.0529857534246575,2024-09-02 21:19:54,0.9495,11.71060566
66,58552.7995,0.0948,2024-09-02 21:21:54,188.87,0.097,0.0,0.0925,0.9981,-6.12742,0.0,0.12906,0.70336,94.95,BTC,2024-09-03,53000.0,Call,5550.8053926,0.0054794520547945,0.0529857534246575,2024-09-02 21:22:37,0.9495,11.711220540000001
67,58566.9697,0.0951,2024-09-02 21:24:37,185.13,0.097,0.0,0.0935,0.99819,-5.84714,0.0,0.12316,0.6994,94.95,BTC,2024-09-03,53000.0,Call,5569.718818470001,0.0054794520547945,0.0529857534246575,2024-09-02 21:25:21,0.9495,11.7084761
68,58289.5438,0.0739,2024-09-02 14:20:50,125.22,0.076,0.0,0.0715,0.97915,-55.39584,2e-05,1.34923,1.12341,82.11,BTC,2024-09-03,54000.0,Call,4307.59728682,0.0054794520547945,0.0529857534246575,2024-09-02 14:21:33,0.8210999999999999,17.485998029999998
69,58294.9408,0.074,2024-09-02 14:23:33,124.32,0.076,0.0,0.0715,0.98035,-52.09879,2e-05,1.28127,1.12191,81.32,BTC,2024-09-03,54000.0,Call,4313.8256192,0.0054794520547945,0.0529857534246575,2024-09-02 14:24:14,0.8131999999999999,17.48861061
70,58279.8254,0.0737,2024-09-02 14:26:14,120.44,0.0755,0.0,0.0715,0.98095,-50.24012,2e-05,1.24649,1.12067,80.61,BTC,2024-09-03,54000.0,Call,4295.22313198,0.0054794520547945,0.0529857534246575,2024-09-02 14:26:56,0.8061,17.485030199999997
