Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate
56768.0,0.0004,2024-07-10 02:22:14,83.81,0.0006,79.96,0.0004,-0.00297,-1.19776,0.0,2.39651,-0.41127,79.24,BTC,2024-09-27,22000.0,Put,22.7072,0.21659843688638433,0.052369475251276325
56768.0,0.2434,2024-07-10 02:22:14,0.0,0.0,54.66,0.2435,0.87053,-19.21012,1e-05,55.80922,77.32159,54.58,BTC,2024-09-27,44000.0,Call,13817.3312,0.21659843688638433,0.052369475251276325
57775.36,0.0763,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.33436,-26.27922,1e-05,143.96457,69.86444,62.43,BTC,2024-12-27,76000.0,Call,4408.259968,0.4652323166678051,0.05112096794295573
57775.36,0.6538,2024-07-10 02:22:14,0.0,0.64,0.0,0.0,1.0,0.0,0.0,0.0,93.30251,0.1,BTC,2024-12-27,20000.0,Call,37773.530368,0.4652323166678051,0.05112096794295573
56574.5,0.0496,2024-07-10 02:22:14,50.08,0.0505,49.05,0.049,0.41124,-39.79054,4e-05,82.4934,28.7428,49.47,BTC,2024-08-30,60000.0,Call,2806.0951999999997,0.14009570464594717,0.05248212441603973
56574.5,0.3506,2024-07-10 02:22:14,57.33,0.353,44.96,0.3465,-0.91478,-17.25857,1e-05,33.06162,-100.57017,53.53,BTC,2024-08-30,76000.0,Put,19835.0197,0.14009570464594717,0.05248212441603973
59312.32,0.3243,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.4787,-26.12989,1e-05,200.10745,-341.5997,68.37,BTC,2025-03-28,68000.0,Put,19234.985375999997,0.7138661964492258,0.049531256342724955
56768.08,0.0007,2024-07-10 02:22:14,78.1,0.001,71.6,0.0005,-0.00578,-2.05376,0.0,4.35082,-0.80132,74.85,BTC,2024-09-27,25000.0,Put,39.737656,0.21659843688638433,0.052369475251276325
56768.08,0.524,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.91875,-14.46632,1e-05,39.97994,-179.52763,57.9,BTC,2024-09-27,86000.0,Put,29746.47392,0.21659843688638433,0.052369475251276325
57655.1329,0.0242,2024-07-10 02:22:14,94.06,0.026,0.0,0.023,-0.89494,-95.78694,0.00017,2.8861,-0.4013,66.38,BTC,2024-07-10,59000.0,Put,1395.25421618,0.0007514423508652096,0.05230097687505613
59312.28,0.059,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.23142,-19.39859,1e-05,153.11729,73.39533,66.39,BTC,2025-03-28,105000.0,Call,3499.4245199999996,0.7138661964492258,0.049531256342724955
57690.16,0.6467,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-1.0,-0.00013,0.0,1e-05,-7.83714,100.0,BTC,2024-07-12,95000.0,Put,37308.226472,0.00621592322518215,0.052308080700192744
57775.68,0.0057,2024-07-10 02:22:14,73.68,0.0065,70.81,0.005,0.03457,-6.40285,0.0,30.18298,7.77557,72.24,BTC,2024-12-27,160000.0,Call,329.321376,0.4652323166678051,0.05112096794295573
56768.08,0.0025,2024-07-10 02:22:14,63.0,0.0026,61.08,0.0021,0.02514,-6.14512,0.0,15.53446,2.78851,62.72,BTC,2024-09-27,105000.0,Call,141.9202,0.21659843688638433,0.052369475251276325
60398.45,0.2407,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.59775,-22.12288,1e-05,229.81431,208.55312,67.96,BTC,2025-06-27,64000.0,Call,14537.906915,0.9625000762306466,0.047939999512123854
57775.68,0.4201,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.68682,-25.63139,1e-05,140.13582,-299.63468,62.56,BTC,2024-12-27,78000.0,Put,24271.563167999997,0.4652323166678051,0.05112096794295573
57689.9,0.0028,2024-07-10 02:22:14,69.8,0.003,68.44,0.0028,-0.10511,-124.24667,6e-05,8.29335,-0.38841,68.25,BTC,2024-07-12,54000.0,Put,161.53172,0.00621592322518215,0.052308080700192744
60398.45,0.0346,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.12959,-12.64008,0.0,125.37702,55.48868,71.18,BTC,2025-06-27,170000.0,Call,2089.78637,0.9625000762306466,0.047939999512123854
57655.0651,0.0581,2024-07-10 02:22:14,145.55,0.0595,0.0,0.0,-0.99462,-9.79618,1e-05,0.24487,-0.45958,80.01,BTC,2024-07-10,61000.0,Put,3349.75928231,0.0007514423508652096,0.05230097687505613
56574.14,0.3332,2024-07-10 02:22:14,56.45,0.336,45.03,0.3295,-0.91057,-17.43253,1e-05,34.27223,-98.85034,52.16,BTC,2024-08-30,75000.0,Put,18850.503448,0.14009570464594717,0.05248212441603973
57689.9,0.1962,2024-07-10 02:22:14,137.43,0.1985,0.0,0.0,-0.99232,-19.50751,1e-05,0.96378,-4.27632,92.15,BTC,2024-07-12,69000.0,Put,11318.758380000001,0.00621592322518215,0.052308080700192744
